"Mass","formula","El_comp","Class","HC","OC","AImod","NOSC","Gibbs","DBE_AI","DBE_C","KM","KMD","C","H","O","N","S","P"
354.8991241,"","","None",NA,NA,Inf,NA,NA,NA,NA,354.502840567508,-0.502840567508429,0,0,0,0,0,0
354.9095412,"","","None",NA,NA,Inf,NA,NA,NA,NA,354.513246035682,-0.513246035681505,0,0,0,0,0,0
354.9277452,"C14H3O3N3S2P1","CHONSP","ConHC",0.21,0.21,1.2308,0.7857,37.90755,6.5,0.464285714285714,354.531429708932,-0.531429708932478,14,3,3,3,2,1
354.9293069,"","","None",NA,NA,Inf,NA,NA,NA,NA,354.532989665124,-0.532989665124319,0,0,0,0,0,0
354.9427791,"","","None",NA,NA,Inf,NA,NA,NA,NA,354.546446821945,-0.546446821945437,0,0,0,0,0,0
354.9495817,"","","None",NA,NA,Inf,NA,NA,NA,NA,354.553241826102,-0.553241826101555,0,0,0,0,0,0
354.9574622,"","","None",NA,NA,Inf,NA,NA,NA,NA,354.561113526665,-0.561113526664826,0,0,0,0,0,0
355.0101758,"C13H11O9N1P1","CHONP","Tannin",0.85,0.69,0.4615,0.3846,49.3389,-1.5,-0.115384615384615,354.613768266188,-0.613768266188174,13,11,9,1,0,1
355.0128502,"C14H12O9S1","CHOS","Lignin",0.86,0.64,0.4118,0.5714,44.0151,-1,-0.0714285714285714,354.616439679929,-0.616439679929215,14,12,9,0,1,0
355.0254708,"C22H12O1S2","CHOS","ConHC",0.55,0.05,0.7436,-0.2727,68.07195,14,0.636363636363636,354.629046187654,-0.629046187654467,22,12,1,0,2,0
355.030965,"C14H12O11","CHO","Tannin",0.86,0.79,0.4118,0.7143,39.94245,-2,-0.142857142857143,354.634534252782,-0.634534252781691,14,12,11,0,0,0
355.0314556,"C15H16O6S2","CHOS","Lignin",1.07,0.4,0.3,0,60.3,0,0,354.635024304973,-0.635024304973342,15,16,6,0,2,0
355.0322864,"C16H20O1S4","CHOS","UnsatHC",1.25,0.06,0.2174,-0.625,78.1125,2,0.125,354.635854177295,-0.635854177294618,16,20,1,0,4,0
355.0463839,"C14H15O8N1P1","CHONP","Lignin",1.07,0.57,0.3125,-0.0714,62.3349,-1.5,-0.107142857142857,354.6499359359,-0.64993593590026,14,15,8,1,0,1
355.0628709,"C10H16O12N2","CHON","Other",1.6,1.2,-2,1.4,20.4,-10,-1,354.666404526369,-0.666404526368751,10,16,12,2,0,0
355.0651393,"C15H19O5N1S1P1","CHONSP","Lignin",1.27,0.33,0.2105,-0.6,77.4,-0.5,-0.0333333333333333,354.668670393453,-0.668670393452999,15,19,5,1,1,1
355.066217,"","","None",NA,NA,Inf,NA,NA,NA,NA,354.669746890084,-0.669746890083559,0,0,0,0,0,0
355.0667131,"","","None",NA,NA,Inf,NA,NA,NA,NA,354.670242436134,-0.67024243613389,0,0,0,0,0,0
355.0674911,"C11H19O10N1P1","CHONP","Carb",1.73,0.91,-0.875,-0.0909,62.89065,-8.5,-0.772727272727273,354.671019567412,-0.671019567412088,11,19,10,1,0,1
355.0679408,"C16H20O5S2","CHOS","Lignin",1.25,0.31,0.2174,-0.375,70.9875,0,0,354.671468765273,-0.671468765273062,16,20,5,0,2,0
355.068561,"C12H23O5N1S2P1","CHONSP","Protein",1.92,0.42,-0.7273,-0.9167,86.42595,-6.5,-0.541666666666667,354.672088272752,-0.672088272752205,12,23,5,1,2,1
355.0826203,"C19H16O7","CHO","Lignin",0.84,0.37,0.5484,-0.1053,63.30105,5,0.263157894736842,354.686131874012,-0.686131874012233,19,16,7,0,0,0
355.0862149,"C12H23O7N1S1P1","CHONSP","AminoSugar",1.92,0.58,-0.7273,-0.75,81.675,-7.5,-0.625,354.68972246025,-0.689722460249811,12,23,7,1,1,1
355.0870649,"","","None",NA,NA,Inf,NA,NA,NA,NA,354.690571511132,-0.690571511132134,0,0,0,0,0,0
355.0885426,"C12H20O12","CHO","Carb",1.67,1,-0.5,0.3333,50.80095,-9,-0.75,354.692047561119,-0.692047561119125,12,20,12,0,0,0
355.0890018,"C13H24O7S2","CHOS","Protein",1.85,0.54,-0.4667,-0.4615,73.45275,-7,-0.538461538461538,354.692506248372,-0.692506248372354,13,24,7,0,2,0
355.0896969,"C14H28O2S4","CHOS","Lipid",2,0.14,-0.4444,-1.1429,92.87265,-5,-0.357142857142857,354.693200572217,-0.693200572217449,14,28,2,0,4,0
355.0901879,"C14H28O2S4","CHOS","Lipid",2,0.14,-0.4444,-1.1429,92.87265,-5,-0.357142857142857,354.693691023962,-0.693691023962458,14,28,2,0,4,0
355.1015443,"C16H23O4N1S1P1","CHONSP","Lignin",1.44,0.25,0.1364,-0.9375,87.01875,-0.5,-0.03125,354.705034743305,-0.705034743304793,16,23,4,1,1,1
