"Temperature","Clay","Moisture","core","datetime","date","time","incub_days","CO2_1_ppm","CO2_2_ppm","CO2C_ug_g_hr"
20,"non-amended","50% WFPS",26,2016-09-11 10:44:00,2016-09-11,"t3",2,12955,NA,0.0808460007116334
20,"non-amended","50% WFPS",27,2016-09-11 10:46:00,2016-09-11,"t3",2,11654,NA,0.0726271779211731
20,"non-amended","50% WFPS",28,2016-09-11 10:48:00,2016-09-11,"t3",2,12410,NA,0.0772324457129916
20,"non-amended","100% WFPS",30,2016-09-11 10:51:00,2016-09-11,"t3",2,13422,NA,0.0833590101330565
20,"non-amended","100% WFPS",29,2016-09-11 10:54:00,2016-09-11,"t3",2,9753,NA,0.0604481032147627
4,"illite-amended","50% WFPS",2,2016-09-12 07:00:00,2016-09-12,"t4",3,3180,NA,0.0254342687267101
4,"illite-amended","50% WFPS",3,2016-09-12 07:01:00,2016-09-12,"t4",3,3365,NA,0.0268915256988294
4,"illite-amended","50% WFPS",4,2016-09-12 07:02:00,2016-09-12,"t4",3,3636,NA,0.0290330584529927
4,"illite-amended","100% WFPS",5,2016-09-12 07:05:00,2016-09-12,"t4",3,975,NA,0.00776588491616451
4,"illite-amended","100% WFPS",6,2016-09-12 07:06:00,2016-09-12,"t4",3,1545,NA,0.0122957367823671
4,"illite-amended","100% WFPS",7,2016-09-12 07:07:00,2016-09-12,"t4",3,928,NA,0.00737928166775161
4,"illite-amended","100% WFPS",8,2016-09-12 07:08:00,2016-09-12,"t4",3,1020,NA,0.00810413410634895
4,"non-amended","50% WFPS",9,2016-09-12 07:10:00,2016-09-12,"t4",3,3345,NA,0.0265328641480883
4,"non-amended","50% WFPS",10,2016-09-12 07:11:00,2016-09-12,"t4",3,3555,NA,0.0281753191104979
4,"non-amended","50% WFPS",11,2016-09-12 07:12:00,2016-09-12,"t4",3,2975,NA,0.0235590477184017
4,"non-amended","50% WFPS",12,2016-09-12 07:13:00,2016-09-12,"t4",3,3060,NA,0.0242121863160829
4,"non-amended","100% WFPS",14,2016-09-12 07:17:00,2016-09-12,"t4",3,2302,NA,0.0181546601165522
4,"non-amended","100% WFPS",15,2016-09-12 07:18:00,2016-09-12,"t4",3,2560,NA,0.0201727942313033
4,"non-amended","100% WFPS",16,2016-09-12 07:22:00,2016-09-12,"t4",3,2607,NA,0.0204759097583711
20,"illite-amended","50% WFPS",17,2016-09-12 07:26:00,2016-09-12,"t4",3,11679,NA,0.086437205656702
20,"illite-amended","50% WFPS",18,2016-09-12 07:27:00,2016-09-12,"t4",3,5658,NA,0.0418411787229393
20,"illite-amended","50% WFPS",19,2016-09-12 07:28:00,2016-09-12,"t4",3,7169,NA,0.052971923585015
20,"illite-amended","50% WFPS",20,2016-09-12 07:29:00,2016-09-12,"t4",3,12451,NA,0.0919258978875827
20,"illite-amended","100% WFPS",21,2016-09-12 07:30:00,2016-09-12,"t4",3,3188,NA,0.0235179104084916
20,"illite-amended","100% WFPS",22,2016-09-12 07:32:00,2016-09-12,"t4",3,2461,NA,0.0181253514457158
20,"illite-amended","100% WFPS",23,2016-09-12 07:33:00,2016-09-12,"t4",3,2619,NA,0.0192733830159435
20,"illite-amended","100% WFPS",24,2016-09-12 07:34:00,2016-09-12,"t4",3,2795,NA,0.0205519096881318
20,"non-amended","50% WFPS",25,2016-09-12 07:35:00,2016-09-12,"t4",3,13500,NA,0.0991864487610431
20,"non-amended","50% WFPS",27,2016-09-12 07:37:00,2016-09-12,"t4",3,13267,NA,0.0973169658016862
20,"non-amended","50% WFPS",28,2016-09-12 07:38:00,2016-09-12,"t4",3,13060,NA,0.0957211841507653
20,"non-amended","100% WFPS",29,2016-09-12 07:40:00,2016-09-12,"t4",3,11480,NA,0.0840051154865184
20,"non-amended","100% WFPS",30,2016-09-12 07:41:00,2016-09-12,"t4",3,13516,NA,0.0988238870203844
20,"illite-amended","50% WFPS",18,2016-09-13 11:05:00,2016-09-13,"t5",4,6363,NA,0.0351406580659205
20,"illite-amended","50% WFPS",20,2016-09-13 11:07:00,2016-09-13,"t5",4,9519,NA,0.0525062442917535
20,"illite-amended","100% WFPS",21,2016-09-13 11:11:00,2016-09-13,"t5",4,12183,NA,0.0670377020412326
20,"illite-amended","100% WFPS",22,2016-09-13 11:11:00,2016-09-13,"t5",4,11357,NA,0.0624925865617892
20,"illite-amended","100% WFPS",23,2016-09-13 11:12:00,2016-09-13,"t5",4,11778,NA,0.0647698865087248
20,"illite-amended","100% WFPS",24,2016-09-13 11:13:00,2016-09-13,"t5",4,13043,NA,0.0716829634663617
20,"non-amended","50% WFPS",25,2016-09-13 11:15:00,2016-09-13,"t5",4,13530,NA,0.0742694954132817
