"formula","HC","OC"
"C30H46O1S4",1.53,0.03
"C38H34O2N2",0.89,0.05
"C21H45O13N1P1",2.14,0.62
"C26H46O12",1.77,0.46
"C16H9O19N1S1",0.56,1.19
"C26H16O12P1",0.62,0.46
"C20H40O13S1P1",2,0.65
"C36H29O1N3S1",0.81,0.03
"C21H12O14S2",0.57,0.67
"C22H18O11S1P2",0.82,0.5
"C18H18O16P2",1,0.89
"C19H22O11S2P2",1.16,0.58
"C19H23O16N1P1",1.21,0.84
"C33H16O5N2S1",0.48,0.15
"C20H24O16S1",1.2,0.8
"C25H30O8S1P2",1.2,0.32
"C34H20O4N2S1",0.59,0.12
"C21H28O15S1",1.33,0.71
"C23H24O14N2",1.04,0.61
"C25H28O14",1.12,0.56
"C26H34O7S1P2",1.31,0.27
"C35H24O3N2S1",0.69,0.09
"C26H32O13",1.23,0.5
"C27H36O8S2",1.33,0.3
"C36H28O2N2S1",0.78,0.06
"C24H42O8S1P2",1.75,0.33
"C27H36O12",1.33,0.44
"C23H39O12N1P1",1.7,0.52
"C24H40O14",1.67,0.58
"C28H40O11",1.43,0.39
"C29H44O10",1.52,0.34
"C30H48O5S2",1.6,0.17
"C18H5O16N1P2",0.28,0.89
"C16H11O13N1S4",0.69,0.81
"C14H19O10N1S6",1.36,0.71
"C20H15O10N3S3",0.75,0.5
"C14H23O16N3S2",1.64,1.14
"C25H31O13N1",1.24,0.52
"C35H27O2N3S1",0.77,0.06
"C23H39O10N1S2",1.7,0.43
"C18H6O9N2S5",0.33,0.5
"C18H4O17P2",0.22,0.94
"C17H14O17S2",0.82,1
"C27H9O11N1P1",0.33,0.41
"C19H10O18N2",0.53,0.95
"C18H18O16S2",1,0.89
"C19H22O11S4",1.16,0.58
"C28H14O11N2",0.5,0.39
"C36H14O3N2S1",0.39,0.08
"C23H22O14S1",0.96,0.61
"C25H18O13N2",0.72,0.52
"C19H26O13N2S2",1.37,0.68
"C33H18O5N2S1",0.55,0.15
"C16H29O16N1S1P1",1.81,1
"C20H29O13N1S1P1",1.45,0.65
"C34H22O4N2S1",0.65,0.12
"C38H22O1N2S1",0.58,0.03
"C21H30O17",1.43,0.81
"C25H30O14",1.2,0.56
"C21H33O14N1P1",1.57,0.67
"C22H37O9N1S2P1",1.68,0.41
"C39H26O2N2",0.67,0.05
"C26H34O13",1.31,0.5
"C27H38O8S2",1.41,0.3
"C36H30O2N2S1",0.83,0.06
"C40H30O1N2",0.75,0.03
"C27H38O12",1.41,0.44
"C25H46O9S2",1.84,0.36
"C38H38O2N2",1,0.05
"C21H33O14N1S1",1.57,0.67
"C25H33O13N1",1.32,0.52
"C25H37O9N3S1",1.48,0.36
"C33H33O7N1",1,0.21
"C21H37O14N3",1.76,0.67
"C21H37O14N3",1.76,0.67
"C26H41O8N3S1",1.58,0.31
"C17H4O16N2S2",0.24,0.94
"C18H8O11N2S4",0.44,0.61
"C13H16O14S5",1.23,1.08
"C21H6O11N2S1P2",0.29,0.52
"C17H4O18N2S1",0.24,1.06
"C17H16O19S1",0.94,1.12
"C30H8O10N2",0.27,0.33
"C18H20O16S2",1.11,0.89
"C27H12O12N2",0.44,0.44
"C32H16O6N2S1",0.5,0.19
"C15H27O17N1S1P1",1.8,1.13
"C28H16O11N2",0.57,0.39
"C33H20O5N2S1",0.61,0.15
"C16H31O16N1S1P1",1.94,1
"C37H20O2N2S1",0.54,0.05
"C25H34O8S1P2",1.36,0.32
"C16H32O19N2",2,1.19
"C38H24O1N2S1",0.63,0.03
"C25H32O14",1.28,0.56
"C26H38O7S1P2",1.46,0.27
"C22H36O16",1.64,0.73
"C26H36O13",1.38,0.5
"C27H40O8S2",1.48,0.3
"C36H32O2N2S1",0.89,0.06
"C27H43O5N1S2P1",1.59,0.19
"C23H40O15",1.74,0.65
"C27H40O12",1.48,0.44
"C24H44O14",1.83,0.58
"C28H44O11",1.57,0.39
"C29H48O6S2",1.66,0.21
"C30H52O1S4",1.73,0.03
"C26H52O12",2,0.46
"C13H19O11N1S6",1.46,0.85
"C19H10O18P1",0.53,0.95
"C24H14O14P1",0.58,0.58
"C25H35O13N1",1.4,0.52
"C25H18O11S2",0.72,0.44
"C40H14O4",0.35,0.1
"C26H22O14",0.85,0.54
"C36H18O3N2S1",0.5,0.08
"C33H22O5N2S1",0.67,0.15
"C24H30O13S1",1.25,0.54
"C34H26O4N2S1",0.76,0.12
"C16H34O19N2",2.12,1.19
"C25H34O12S1",1.36,0.48
"C25H34O14",1.36,0.56
"C26H40O7S1P2",1.54,0.27
"C21H38O13N2S1",1.81,0.62
"C25H37O11N1P1",1.48,0.44
"C26H38O13",1.46,0.5
"C22H41O13N1P1",1.86,0.59
"C30H38O10",1.27,0.33
"C27H42O12",1.56,0.44
"C31H42O9",1.35,0.29
"C27H45O9N1P1",1.67,0.33
"C28H46O11",1.64,0.39
"C21H36O13S1P1",1.71,0.62
"C24H37O12N3",1.54,0.5
"C29H41O4N3S2",1.41,0.14
"C25H41O9N3S1",1.64,0.36
"C22H8O8S5",0.36,0.36
"C17H7O15N1S2P1",0.41,0.88
"C20H16O7S6",0.8,0.35
"C16H20O16N2S2",1.25,1
"C25H20O13S1",0.8,0.52
"C35H16O4N2S1",0.46,0.11
"C22H24O15S1",1.09,0.68
"C23H30O10S1P2",1.3,0.43
"C40H16O4",0.4,0.1
"C36H20O3N2S1",0.56,0.08
"C23H28O14S1",1.22,0.61
"C32H20O8N2",0.62,0.25
"C37H24O2N2S1",0.65,0.05
"C24H32O15",1.33,0.62
"C28H32O12",1.14,0.43
"C25H36O14",1.44,0.56
"C22H43O9N1S2P1",1.95,0.41
"C29H36O11",1.24,0.38
"C26H40O13",1.54,0.5
"C22H43O13N1P1",1.95,0.59
"C30H40O10",1.33,0.33
"C26H43O10N1P1",1.65,0.38
"C29H52O2S4",1.79,0.07
"C24H48O12S1",2,0.5
"C24H48O12S1",2,0.5
"C16H7O16N3S2",0.44,1
"C16H6O7N2S7",0.38,0.44
"C22H10O14S2",0.45,0.64
"C18H13O18N1P1",0.72,1
"C25H10O12N2S1",0.4,0.48
"C30H14O8N2S1",0.47,0.27
"C20H21O16N1P1",1.05,0.8
"C25H24O9S1P2",0.96,0.36
"C14H29O16N1S2P1",2.07,1.14
"C34H14O7N2",0.41,0.21
"C35H18O4N2S1",0.51,0.11
"C43H14O2",0.33,0.05
"C26H26O14",1,0.54
"C27H32O7S1P2",1.19,0.26
"C23H30O14S1",1.3,0.61
"C23H30O14S1",1.3,0.61
"C32H22O8N2",0.69,0.25
"C19H30O19",1.58,1
"C20H34O14S2",1.7,0.7
"C27H30O13",1.11,0.48
"C37H26O2N2S1",0.7,0.05
"C24H34O15",1.42,0.62
"C25H38O10S2",1.52,0.4
"C28H34O12",1.21,0.43
"C29H38O7S2",1.31,0.24
"C25H38O14",1.52,0.56
"C26H42O9S2",1.62,0.35
"C29H38O11",1.31,0.38
"C30H42O6S2",1.4,0.2
"C26H42O13",1.62,0.5
"C27H48O6S1P2",1.78,0.22
"C30H42O10",1.4,0.33
"C28H50O11",1.79,0.39
"C29H56O6P2",1.93,0.21
"C38H74O2",1.95,0.05
"C12H9O7N3S8",0.75,0.58
"C19H5O10N3S4",0.26,0.53
"C20H5O13N1S3",0.25,0.65
"C16H8O17N2S1P1",0.5,1.06
"C23H5O11N3S2",0.22,0.48
"C21H13O14N3S1",0.62,0.67
"C18H17O14N3S2",0.94,0.78
"C19H33O4N1S7",1.74,0.21
"C19H20O16N2P1",1.05,0.84
"C24H20O14P1",0.83,0.58
"C24H23O11N1P2",0.96,0.46
"C17H25O18N1S1",1.47,1.06
"C23H21O12N3S1",0.91,0.52
"C25H24O13P1",0.96,0.52
"C29H29O1N3S4",1,0.03
"C20H25O16N3",1.25,0.8
"C17H29O16N3S1",1.71,0.94
"C23H33O11N1S2",1.43,0.48
"C29H29O5N3S2",1,0.17
"C33H25O8N1",0.76,0.24
"C20H37O13N1S2",1.85,0.65
"C38H28O3P1",0.74,0.08
"C27H37O6N3S2",1.37,0.22
"C31H33O9N1",1.06,0.29
"C31H37O3N3S2",1.19,0.1
"C29H41O8N1S1",1.41,0.28
"C25H45O7N3S2",1.8,0.28
"C33H41O5N1S1",1.24,0.15
"C21H45O12N3S1",2.14,0.57
"C27H48O10P1",1.78,0.37
"C37H41O4N1",1.11,0.11
"C33H44O4N2P1",1.33,0.12
"C25H45O11N3",1.8,0.44
"C41H41O1N1",1,0.02
"C30H49O3N3S2",1.63,0.1
"C34H45O6N1",1.32,0.18
"C34H48O3N2P1",1.41,0.09
"C26H49O10N3",1.88,0.38
"C34H49O2N3S1",1.44,0.06
"C32H53O5N1S1",1.66,0.16
"C29H61O3N3S2",2.1,0.1
"C33H57O6N1",1.73,0.18
"C35H65O2N1S1",1.86,0.06
"C15H4O10N2S6",0.27,0.67
"C16H4O15S4",0.25,0.94
"C20H4O12S4",0.2,0.6
"C16H8O13N2S4",0.5,0.81
"C20H4O16S2",0.2,0.8
"C19H4O15N2S2",0.21,0.79
"C19H20O2N2S8",1.05,0.11
"C21H8O15S2",0.38,0.71
"C23H20O1N2S7",0.87,0.04
"C17H12O16N2S2",0.71,0.94
"C16H20O14S4",1.25,0.88
"C19H20O8N2S5",1.05,0.42
"C20H20O11S4",1,0.55
"C21H12O15N2S1",0.57,0.71
"C20H24O5N2S6",1.2,0.25
"C16H20O18S2",1.25,1.12
"C33H8O10",0.24,0.3
"C33H8O10",0.24,0.3
"C21H12O17N2",0.57,0.81
"C31H16O5S3",0.52,0.16
"C23H16O17",0.7,0.74
"C24H22O10S1P2",0.92,0.42
"C33H12O6N2S1",0.36,0.18
"C16H23O17N1S1P1",1.44,1.06
"C17H24O17S2",1.41,1
"C34H12O9",0.35,0.26
"C37H12O3N2S1",0.32,0.08
"C15H23O18N3P1",1.53,1.2
"C21H24O16S1",1.14,0.76
"C21H26O14P2",1.24,0.67
"C21H24O18",1.14,0.86
"C18H31O13N1S2P1",1.72,0.72
"C28H24O7N2S2",0.86,0.25
"C32H20O10",0.62,0.31
"C22H32O7N2S4",1.45,0.32
"C17H28O17N2S1",1.65,1
"C35H20O4N2S1",0.57,0.11
"C22H28O15S1",1.27,0.68
"C22H30O13P2",1.36,0.59
"C19H32O15S2",1.68,0.79
"C32H24O6N2S1",0.75,0.19
"C20H36O12S3",1.8,0.6
"C21H28O16N2",1.33,0.76
"C26H28O14",1.08,0.54
"C36H24O3N2S1",0.67,0.08
"C19H35O14N1S1P1",1.84,0.74
"C19H32O19",1.68,1
"C18H32O18N2",1.78,1
"C23H35O11N1S1P1",1.52,0.48
"C27H32O13",1.19,0.48
"C28H38O6S1P2",1.36,0.21
"C24H36O13S1",1.5,0.54
"C28H36O10S1",1.29,0.36
"C28H36O10S1",1.29,0.36
"C24H36O15",1.5,0.62
"C35H32O7",0.91,0.2
"C23H36O14N2",1.57,0.61
"C28H39O7N1S1P1",1.39,0.25
"C41H28O1N2",0.68,0.02
"C28H36O12",1.29,0.43
"C30H44O2S4",1.47,0.07
"C38H32O1N2S1",0.84,0.03
"C34H32O6N2",0.94,0.18
"C25H40O14",1.6,0.56
"C21H43O14N1P1",2.05,0.67
"C26H44O9S2",1.69,0.35
"C29H40O11",1.38,0.38
"C29H40O11",1.38,0.38
"C27H48O6S3",1.78,0.22
"C30H46O6P2",1.53,0.2
"C26H44O13",1.69,0.5
"C27H48O8S2",1.78,0.3
"C37H40O5",1.08,0.14
"C31H48O7S1",1.55,0.23
"C32H52O2S3",1.62,0.06
"C27H48O12",1.78,0.44
"C31H48O9",1.55,0.29
"C36H52O3S1",1.44,0.08
"C31H52O7N2",1.68,0.23
"C28H56O7N2S1",2,0.25
"C34H60O4S1",1.76,0.12
"C34H60O6",1.76,0.18
"C16H7O14N1S4",0.44,0.88
"C23H7O11N3S2",0.3,0.48
"C24H25O11N1P2",1.04,0.46
"C24H27O11N3S1",1.12,0.46
"C24H43O12N3",1.79,0.5
"C19H21O13N1S2P1",1.11,0.68
"C20H24O15P2",1.2,0.75
"C25H30O1N2S6",1.2,0.04
"C19H22O16N2S1",1.16,0.84
"C27H18O14",0.67,0.52
"C21H26O16S1",1.24,0.76
"C17H30O15N2S2",1.76,0.88
"C35H22O4N2S1",0.63,0.11
"C29H30O4N2S3",1.03,0.14
"C24H26O14N2",1.08,0.58
"C26H30O14",1.15,0.54
"C22H33O14N1P1",1.5,0.64
"C27H36O7S1P2",1.33,0.26
"C27H34O13",1.26,0.48
"C28H38O8S2",1.36,0.29
"C24H38O13S1",1.58,0.54
"C24H38O15",1.58,0.62
"C25H44O8S1P2",1.76,0.32
"C28H38O12",1.36,0.43
"C38H34O1N2S1",0.89,0.03
"C25H42O14",1.68,0.56
"C40H42O1N2",1.05,0.03
"C28H54O7S2",1.93,0.25
"C29H58O2S4",2,0.07
"C20H9O7N1S6",0.45,0.35
"C21H13O18N1",0.62,0.86
"C24H25O3N1S6",1.04,0.12
"C24H41O10N1S2",1.71,0.42
"C16H12O19N2S1",0.75,1.19
"C23H20O11S3",0.87,0.48
"C21H18O13N2P2",0.86,0.62
"C17H16O20N2",0.94,1.18
"C30H18O6S1P2",0.6,0.2
"C23H20O17",0.87,0.74
"C20H27O12N1S2P1",1.35,0.6
"C33H16O6N2S1",0.48,0.18
"C20H24O17S1",1.2,0.85
"C29H16O11N2",0.55,0.38
"C16H28O16N2S2",1.75,1
"C24H24O14S1",1,0.58
"C30H20O8N2S1",0.67,0.27
"C20H27O16N1P1",1.35,0.8
"C34H20O5N2S1",0.59,0.15
"C21H28O16S1",1.33,0.76
"C17H32O15N2S2",1.88,0.88
"C25H28O15",1.12,0.6
"C35H24O4N2S1",0.69,0.11
"C43H20O2",0.47,0.05
"C26H32O14",1.23,0.54
"C22H35O14N1P1",1.59,0.64
"C23H36O14S1",1.57,0.61
"C24H40O9S3",1.67,0.38
"C27H36O13",1.33,0.48
"C28H42O6S1P2",1.5,0.21
"C25H44O8S3",1.76,0.32
"C24H40O15",1.67,0.62
"C28H40O12",1.43,0.43
"C30H48O2S4",1.6,0.07
"C38H36O1N2S1",0.95,0.03
"C26H48O9S2",1.85,0.35
"C29H44O11",1.52,0.38
"C26H48O11S1",1.85,0.42
"C26H48O13",1.85,0.5
"C21H15O18N1",0.71,0.86
"C26H18O11S1P1",0.69,0.42
"C22H35O16N1",1.59,0.73
"C25H35O12N3",1.4,0.48
"C18H4O18P2",0.22,1
"C20H10O10S5",0.5,0.5
"C17H14O20S1",0.82,1.18
"C19H24O16P2",1.26,0.84
"C28H14O12N2",0.5,0.43
"C16H26O18S2",1.62,1.12
"C36H14O4N2S1",0.39,0.11
"C23H22O15S1",0.96,0.65
"C20H26O17S1",1.3,0.85
"C24H26O14S1",1.08,0.58
"C24H26O14S1",1.08,0.58
"C17H30O19S1",1.76,1.12
"C18H34O14S3",1.89,0.78
"C34H22O5N2S1",0.65,0.15
"C38H22O2N2S1",0.58,0.05
"C25H30O13S1",1.2,0.52
"C21H33O15N1P1",1.57,0.71
"C26H37O7N1S2P1",1.42,0.27
"C39H26O3N2",0.67,0.08
"C26H34O14",1.31,0.54
"C27H40O7S1P2",1.48,0.26
"C27H38O13",1.41,0.48
"C37H34O2N2S1",0.92,0.05
"C24H42O15",1.75,0.62
"C28H42O12",1.5,0.43
"C25H46O14",1.84,0.56
"C29H46O11",1.59,0.38
"C27H54O10S1",2,0.37
"C21H5O15N3S1",0.24,0.71
"C22H9O10N3S3",0.41,0.45
"C36H17O5N3",0.47,0.14
"C25H33O14N1",1.32,0.56
"C17H4O19N2S1",0.24,1.12
"C19H12O9N2S5",0.63,0.47
"C21H20O7N2S5",0.95,0.33
"C16H16O17N2S2",1,1.06
"C24H14O13P2",0.58,0.54
"C21H16O15S2",0.76,0.71
"C21H16O19",0.76,0.9
"C35H12O7N2",0.34,0.2
"C22H20O18",0.91,0.82
"C41H16O4",0.39,0.1
"C20H30O15P2",1.5,0.75
"C17H32O17S2",1.88,1
"C18H36O12S4",2,0.67
"C33H20O8N2",0.61,0.24
"C20H28O19",1.4,0.95
"C22H36O9S4",1.64,0.41
"C25H32O13S1",1.28,0.52
"C25H32O13S1",1.28,0.52
"C26H38O8S1P2",1.46,0.31
"C29H32O12",1.1,0.41
"C26H36O14",1.38,0.54
"C30H36O11",1.2,0.37
"C27H40O13",1.48,0.48
"C23H43O13N1P1",1.87,0.57
"C31H40O10",1.29,0.32
"C24H44O15",1.83,0.62
"C28H44O12",1.57,0.43
"C29H48O11",1.66,0.38
"C16H15O14N1S4",0.94,0.88
"C25H19O3N1S6",0.76,0.12
"C22H23O15N1S1",1.05,0.68
"C33H19O7N1S1",0.58,0.21
"C21H23O14N3S1",1.1,0.67
"C20H31O14N1S2",1.55,0.7
"C30H43O4N3S2",1.43,0.13
"C27H47O10N3",1.74,0.37
"C21H18O7S6",0.86,0.33
"C16H18O13N2S4",1.12,0.81
"C19H14O15N2S2",0.74,0.79
"C23H10O18",0.43,0.78
"C23H10O18",0.43,0.78
"C24H14O13S2",0.58,0.54
"C25H18O12S2",0.72,0.48
"C25H22O6N2S4",0.88,0.24
"C20H18O16N2S1",0.9,0.8
"C22H22O16S1",1,0.73
"C36H18O4N2S1",0.5,0.11
"C24H30O10S3",1.25,0.42
"C23H26O17",1.13,0.74
"C24H30O12S2",1.25,0.5
"C24H32O10S1P2",1.33,0.42
"C33H22O6N2S1",0.67,0.18
"C41H18O4",0.44,0.1
"C24H30O14S1",1.25,0.58
"C24H30O14S1",1.25,0.58
"C20H33O16N1P1",1.65,0.8
"C38H26O2N2S1",0.68,0.05
"C25H34O15",1.36,0.6
"C21H37O15N1P1",1.76,0.71
"C29H34O12",1.17,0.41
"C27H42O7S3",1.56,0.26
"C22H38O17",1.73,0.77
"C29H37O9N1P1",1.28,0.31
"C22H42O11N2S2",1.91,0.5
"C26H38O14",1.46,0.54
"C27H42O9S2",1.56,0.33
"C30H38O11",1.27,0.37
"C31H42O6S2",1.35,0.19
"C27H42O13",1.56,0.48
"C31H42O10",1.35,0.32
"C28H46O10S1",1.64,0.36
"C38H42O1N2S1",1.11,0.03
"C25H50O12S1",2,0.48
"C31H49O5N3P1",1.58,0.16
"C34H54O7",1.59,0.21
"C35H58O2S2",1.66,0.06
"C20H19O11N1S2P2",0.95,0.55
"C28H21O1N3S5",0.75,0.04
"C25H37O2N1S6",1.48,0.08
"C26H45O7N3S2",1.73,0.27
"C38H41O4N1",1.08,0.11
"C18H11O15N1S2P1",0.61,0.83
"C18H12O18N2S1",0.67,1
"C15H16O18N2S2",1.07,1.2
"C16H20O13N2S4",1.25,0.81
"C19H12O21",0.63,1.11
"C17H20O18S2",1.18,1.06
"C18H24O13S4",1.33,0.72
"C17H22O18P2",1.29,1.06
"C26H12O14N2",0.46,0.54
"C25H20O12S2",0.8,0.48
"C26H26O9S1P2",1,0.35
"C22H26O14P2",1.18,0.64
"C26H24O15",0.92,0.58
"C23H28O15S1",1.22,0.65
"C20H32O15S2",1.6,0.75
"C37H24O3N2S1",0.65,0.08
"C24H32O14S1",1.33,0.58
"C28H32O13",1.14,0.46
"C25H36O13S1",1.44,0.52
"C25H36O15",1.44,0.6
"C33H36O7S1",1.09,0.21
"C34H40O2S3",1.18,0.06
"C29H36O12",1.24,0.41
"C30H40O7S2",1.33,0.23
"C23H44O12S2",1.91,0.52
"C26H40O14",1.54,0.54
"C30H40O11",1.33,0.37
"C31H44O6S2",1.42,0.19
"C21H23O16N1S1",1.1,0.76
"C33H23O7N1S1",0.7,0.21
"C21H39O13N1S2",1.86,0.62
"C25H43O8N3S2",1.72,0.32
"C26H47O7N3S2",1.81,0.27
"C38H42O3P1",1.11,0.08
"C23H5O12N3S1P1",0.22,0.52
"C22H10O15S2",0.45,0.68
"C24H22O1N2S7",0.92,0.04
"C18H14O16N2S2",0.78,0.89
"C21H26O1N2S8",1.24,0.05
"C18H13O19N1P1",0.72,1.06
"C23H14O14S2",0.61,0.61
"C17H22O16S3",1.29,0.94
"C26H26O3S6",1,0.12
"C20H20O16P2",1,0.8
"C34H10O10",0.29,0.29
"C34H10O10",0.29,0.29
"C22H14O17N2",0.64,0.77
"C25H22O12S2",0.88,0.48
"C38H14O3N2S1",0.37,0.08
"C34H14O8N2",0.41,0.24
"C21H22O19",1.05,0.9
"C21H26O13N2S2",1.24,0.62
"C22H26O16S1",1.18,0.73
"C15H33O16N1S2P1",2.2,1.07
"C22H26O18",1.18,0.82
"C23H30O15S1",1.3,0.65
"C28H34O13",1.21,0.46
"C29H38O8S2",1.31,0.28
"C25H38O15",1.52,0.6
"C29H38O12",1.31,0.41
"C26H42O14",1.62,0.54
"C30H42O11",1.4,0.37
"C27H46O11S1",1.7,0.41
"C31H46O10",1.48,0.32
"C23H5O12N3S2",0.22,0.52
"C16H9O17N3S2",0.56,1.06
"C27H33O11N1S1",1.22,0.41
"C28H36O9S1P1",1.29,0.32
"C25H45O12N3",1.8,0.48
"C25H24O12S2",0.96,0.48
"C20H24O16N2S1",1.2,0.8
"C28H20O14",0.71,0.5
"C36H24O4N2S1",0.67,0.11
"C28H36O13",1.29,0.46
"C29H40O8S2",1.38,0.28
"C38H32O2N2S1",0.84,0.05
"C29H40O12",1.38,0.41
"C30H44O7S2",1.47,0.23
"C27H48O7S3",1.78,0.26
"C26H44O14",1.69,0.54
"C15H7O14N3S4",0.47,0.93
"C30H51O6N3S1",1.7,0.2
"C19H5O15N1S2P1",0.26,0.79
"C18H18O20N2",1,1.11
"C31H20O6S1P2",0.65,0.19
"C20H22O18S1",1.1,0.9
"C25H30O2N2S6",1.2,0.08
"C34H18O6N2S1",0.53,0.18
"C17H29O17N1S1P1",1.71,1
"C25H26O14S1",1.04,0.56
"C27H22O13N2",0.81,0.48
"C24H26O15N2",1.08,0.62
"C26H30O13S1",1.15,0.5
"C35H22O7N2",0.63,0.2
"C22H30O18",1.36,0.82
"C26H30O15",1.15,0.58
"C27H34O14",1.26,0.52
"C28H38O13",1.36,0.46
"C29H42O12",1.45,0.41
"C26H49O11N1P1",1.88,0.42
"C27H53O6N1S2P1",1.96,0.22
"C18H5O12N3S4",0.28,0.67
"C20H40O17P1",2,0.85
"C18H4O19N2S1",0.22,1.06
"C19H8O14N2S3",0.42,0.74
"C21H16O4N2S7",0.76,0.19
"C37H16O4N2S1",0.43,0.11
"C22H23O14N3P1",1.05,0.64
"C34H20O6N2S1",0.59,0.18
"C28H24O14",0.86,0.5
"C25H28O14S1",1.12,0.56
"C25H30O12P2",1.2,0.48
"C21H28O19",1.33,0.9
"C18H32O19S1",1.78,1.06
"C31H26O6N2P2",0.84,0.19
"C25H28O16",1.12,0.64
"C26H34O9S1P2",1.31,0.35
"C26H32O13S1",1.23,0.5
"C26H34O11P2",1.31,0.42
"C26H32O15",1.23,0.58
"C27H36O14",1.33,0.52
"C24H40O16",1.67,0.67
"C28H40O13",1.43,0.46
"C37H44O2S2",1.19,0.05
"C23H7O14N1S2",0.3,0.61
"C19H7O19N1S1",0.37,1
"C23H23O17N1",1,0.74
"C37H19O5N3",0.51,0.14
"C34H38O3N2S1P1",1.12,0.09
"C18H6O11N2S5",0.33,0.61
"C22H8O10N2S2P2",0.36,0.45
"C18H6O17N2S2",0.33,0.94
"C18H18O18S2",1,1
"C15H26O18N2S2",1.73,1.2
"C42H18O4",0.43,0.1
"C18H34O17S2",1.89,0.94
"C19H38O12S4",2,0.63
"C26H34O9S3",1.31,0.35
"C19H38O14S3",2,0.74
"C27H26O13N2",0.96,0.48
"C18H38O15N2S2",2.11,0.83
"C26H34O13S1",1.31,0.5
"C39H26O4N2",0.67,0.1
"C36H30O4N2S1",0.83,0.11
"C27H38O14",1.41,0.52
"C31H38O11",1.23,0.35
"C24H42O16",1.75,0.67
"C25H46O11S2",1.84,0.44
"C28H42O13",1.5,0.46
"C25H46O13S1",1.84,0.52
"C32H42O10",1.31,0.31
"C33H46O5S2",1.39,0.15
"C25H49O10N1S1P1",1.96,0.4
"C29H49O9N1P1",1.69,0.31
"C31H54O6S2",1.74,0.19
"C27H54O11S1",2,0.41
"C31H56O6P2",1.81,0.19
"C22H5O9N1S5",0.23,0.41
"C25H5O13N3S1",0.2,0.52
"C18H9O20N3",0.5,1.11
"C23H25O15N1S1",1.09,0.65
"C24H29O16N1",1.21,0.67
"C27H8O14S1",0.3,0.52
"C22H20O19",0.91,0.86
"C23H26O14P2",1.13,0.61
"C37H20O4N2S1",0.54,0.11
"C28H28O14",1,0.5
"C34H24O8N2",0.71,0.24
"C26H36O15",1.38,0.58
"C30H36O12",1.2,0.4
"C27H40O14",1.48,0.52
"C27H40O14",1.48,0.52
"C28H44O9S2",1.57,0.32
"C31H40O11",1.29,0.35
"C28H44O13",1.57,0.46
"C24H48O12N2S1",2,0.5
"C26H52O12S1",2,0.46
"C26H39O2N1S6",1.5,0.08
"C26H6O11S3",0.23,0.42
"C22H6O16S2",0.27,0.73
"C18H10O19N2S1",0.56,1.06
"C24H14O12S3",0.58,0.5
"C28H14O13S1",0.5,0.46
"C23H28O14P2",1.22,0.61
"C24H30O15S1",1.25,0.62
"C30H38O12",1.27,0.4
"C27H45O7N1S2P1",1.67,0.26
"C31H42O11",1.35,0.35
"C33H50O1S4",1.52,0.03
"C34H54O8",1.59,0.24
"C35H58O3S2",1.66,0.09
"C31H58O8S1",1.87,0.26
"C31H58O8S1",1.87,0.26
"C20H5O19N3",0.25,0.95
"C22H13O15N3S1",0.59,0.68
"C26H24O14P1",0.92,0.54
"C31H17O10N3",0.55,0.32
"C27H33O8N3S2",1.22,0.3
"C26H45O8N3S2",1.73,0.31
"C16H4O13N2S5",0.25,0.81
"C17H8O8N2S7",0.47,0.47
"C15H28O18S3",1.87,1.2
"C23H16O17N2",0.7,0.74
"C28H19O10N1S1P1",0.68,0.36
"C28H16O15",0.57,0.54
"C39H16O3N2S1",0.41,0.08
"C36H20O5N2S1",0.56,0.14
"C23H30O14P2",1.3,0.61
"C22H40O6S6",1.82,0.27
"C23H28O18",1.22,0.78
"C24H32O15S1",1.33,0.62
"C24H34O13P2",1.42,0.54
"C34H28O8N2",0.82,0.24
"C22H40O14S2",1.82,0.64
"C31H34O6N2P2",1.1,0.19
"C36H32O6S1",0.89,0.17
"C29H36O13",1.24,0.45
"C26H40O15",1.54,0.58
"C30H40O12",1.33,0.4
"C30H44O10N2",1.47,0.33
"C31H47O8N1P1",1.52,0.26
"C34H56O6S1",1.65,0.18
"C35H60O1S3",1.71,0.03
"C24H7O12N3S2",0.29,0.5
"C17H11O17N3S2",0.65,1
"C18H27O19N1S1",1.5,1.06
"C25H38O12S1P1",1.52,0.48
"C25H43O13N3",1.72,0.52
"C12H6O14N2S6",0.5,1.17
"C31H18O11N2",0.58,0.35
"C23H32O10S2P2",1.39,0.43
"C29H38O13",1.31,0.45
"C27H46O12S1",1.7,0.44
"C39H46O1S2",1.18,0.03
"C24H20O16P1",0.83,0.67
"C29H29O7N3S2",1,0.24
"C33H25O10N1",0.76,0.3
"C32H37O10N1",1.16,0.31
"C15H4O14N2S5",0.27,0.93
"C16H4O19S3",0.25,1.19
"C21H8O13S4",0.38,0.62
"C20H20O19S1",1,0.95
"C28H22O11P2",0.79,0.39
"C26H28O8S4",1.08,0.31
"C30H19O7N3S1P1",0.63,0.23
"C17H27O18N1S1P1",1.59,1.06
"C24H23O15N1P1",0.96,0.62
"C22H28O17S1",1.27,0.77
"C28H24O13N2",0.86,0.46
"C36H24O5N2S1",0.67,0.14
"C27H32O13S1",1.19,0.48
"C23H35O15N1P1",1.52,0.65
"C24H39O14N1P1",1.62,0.58
"C25H40O14S1",1.6,0.56
"C29H40O13",1.38,0.45
"C27H48O12S1",1.78,0.44
"C27H51O11N1P1",1.89,0.41
"C39H48O5",1.23,0.13
