"formula","HC","OC"
"C12H17O4N3S1",1.42,0.33
"C20H13O2N1",0.65,0.1
"C15H8O7",0.53,0.47
"C9H16O7S2",1.78,0.78
"C12H15O4N1S1P1",1.25,0.33
"C12H12O9",1,0.75
"C8H15O9N1P1",1.88,1.12
"C9H19O4N1S2P1",2.11,0.44
"C16H12O6",0.75,0.38
"C13H16O6S1",1.23,0.46
"C17H16O3S1",0.94,0.18
"C13H16O8",1.23,0.62
"C10H23O3N1S2P1",2.3,0.3
"C13H20O2N2S2",1.54,0.15
"C17H16O5",0.94,0.29
"C14H20O5S1",1.43,0.36
"C10H23O5N1S1P1",2.3,0.5
"C14H20O7",1.43,0.5
"C10H23O7N1P1",2.3,0.7
"C13H20O6N2",1.54,0.46
"C15H24O4S1",1.6,0.27
"C19H24O1S1",1.26,0.05
"C15H24O6",1.6,0.4
"C16H28O1S2",1.75,0.06
"C14H24O5N2",1.71,0.36
"C14H24O5N2",1.71,0.36
"C16H28O5",1.75,0.31
"C20H28O2",1.4,0.1
"C17H32O4",1.88,0.24
"C9H7O7N3S1",0.78,0.78
"C9H7O7N3S1",0.78,0.78
"C13H6O5N2P1",0.46,0.38
"C14H11O3N3S1",0.79,0.21
"C12H19O4N3S1",1.58,0.33
"C20H15O2N1",0.75,0.1
"C13H19O7N1",1.46,0.54
"C10H8O7P2",0.8,0.7
"C13H6O5N2S1",0.46,0.38
"C10H10O5N2S2",1,0.5
"C18H6O5",0.33,0.28
"C18H6O5",0.33,0.28
"C7H14O7N2S2",2,1
"C11H10O10",0.91,0.91
"C9H18O5S3",2,0.56
"C15H10O7",0.67,0.47
"C16H14O4S1",0.88,0.25
"C12H14O9",1.17,0.75
"C9H21O4N1S2P1",2.33,0.44
"C16H14O6",0.88,0.38
"C13H18O6S1",1.38,0.46
"C17H18O3S1",1.06,0.18
"C13H18O8",1.38,0.62
"C14H22O5S1",1.57,0.36
"C14H22O7",1.57,0.5
"C15H26O2S2",1.73,0.13
"C15H26O6",1.73,0.4
"C16H30O5",1.88,0.31
"C20H30O2",1.5,0.1
"C14H8O6P1",0.57,0.43
"C20H5O1N3",0.25,0.05
"C12H17O8N1",1.42,0.67
"C20H17O2N1",0.85,0.1
"C13H21O7N1",1.62,0.54
"C14H25O6N1",1.79,0.43
"C8H7O6N3S1P1",0.88,0.75
"C14H8O8",0.57,0.57
"C11H15O3N1S2P1",1.36,0.27
"C15H12O5S1",0.8,0.33
"C11H12O10",1.09,0.91
"C15H12O7",0.8,0.47
"C16H16O4S1",1,0.25
"C12H16O9",1.33,0.75
"C16H16O6",1,0.38
"C20H16O3",0.8,0.15
"C17H20O3S1",1.18,0.18
"C13H20O8",1.54,0.62
